dataset,gene_set,classifier,n_tumor,n_normal,auc_mean,auc_std,f1_mean,f1_std
All_cancers,H2C_37,LogReg,9264,741,0.9054008238123415,0.013496472040525424,0.971727986277134,0.0023607873401106532
All_cancers,H2C_37,RF,9264,741,0.9710612787999358,0.006516496906469619,0.9795644087964519,0.0011285488958379516
All_cancers,H2C_37,GB,9264,741,0.9638063898220338,0.006988470729488239,0.9782773318631222,0.0009556199733760887
All_cancers,Euclidean_top37,LogReg,9264,741,0.9883003176912923,0.0022144303522399545,0.9885341776428369,0.0006935863935974023
All_cancers,Euclidean_top37,RF,9264,741,0.9917396290258338,0.002963936560818531,0.9912553590979243,0.0007822889151819822
All_cancers,Euclidean_top37,GB,9264,741,0.9914507777561585,0.001842286249566119,0.9903251909347126,0.0010097587342814335
BRCA_only,H2C_37,LogReg,1102,113,0.6081841432225064,0.05283075355909376,0.9497794331588487,0.0022120602708434692
BRCA_only,H2C_37,RF,1102,113,0.950195929390303,0.02615386336194133,0.9616082046598358,0.0029245007880192896
BRCA_only,H2C_37,GB,1102,113,0.9568636989608856,0.027873711609333926,0.9716866876764364,0.0034866838316142514
BRCA_only,Euclidean_top37,LogReg,1102,113,0.9998814229249012,0.00015810276679841805,0.998631177125264,0.001825965059726306
BRCA_only,Euclidean_top37,RF,1102,113,0.9996640316205532,0.0004984000084157689,0.9968274025416882,0.0033985351619570652
BRCA_only,Euclidean_top37,GB,1102,113,0.9906998372471518,0.016566920758997905,0.9959387407041074,0.004121002522786437
Non_BRCA,H2C_37,LogReg,8162,628,0.9584513075754899,0.006135467101101048,0.9755377030336237,0.0016731101689250513
Non_BRCA,H2C_37,RF,8162,628,0.9772752182794597,0.0031816868397623165,0.983409345274945,0.0017570535920612706
Non_BRCA,H2C_37,GB,8162,628,0.9731230548346439,0.0010707345891115085,0.9839057834812357,0.0014690997289102882
Non_BRCA,Euclidean_top37,LogReg,8162,628,0.9846863033843871,0.0049379948058837575,0.987306216687065,0.002651443133340569
Non_BRCA,Euclidean_top37,RF,8162,628,0.9895963982173803,0.004958777679209293,0.9900237541198325,0.0020380085062569235
Non_BRCA,Euclidean_top37,GB,8162,628,0.9894812510089427,0.0032815452880390304,0.9897553371063458,0.0016753096021303025
