Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Bacterial invasion of epithelial cells,9/77,7.489656320147936e-08,1.3780967629072202e-05,0,0,13.673236834000615,224.33895481846685,ACTR3;ACTR2;ARPC2;ARPC3;CTNNB1;RAC1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Endocytosis,12/252,9.301652733058166e-06,0.0006848754548449259,0,0,5.202127659574468,60.26830560762853,ACTR3;ARF4;ACTR2;ARF1;ARPC2;ARPC3;PSD3;AP2S1;CHMP6;PRKCZ;ARF5;PML
KEGG_2021_Human,Fluid shear stress and atherosclerosis,9/139,1.1166447633341182e-05,0.0006848754548449259,0,0,7.129681836488119,81.29688888309488,VCAM1;GSTT2;CTNNB1;RAC1;PRKCZ;SELE;ACTB;PTK2;ACTG1
KEGG_2021_Human,Pathogenic Escherichia coli infection,10/197,3.0418605372496055e-05,0.0013992558471348,0,0,5.520123839009288,57.41180575313958,ACTR3;ACTR2;RAB1A;ARF1;ARPC2;ARPC3;PTPN11;RAC1;ACTB;ACTG1
KEGG_2021_Human,Tight junction,9/169,5.25832556928102e-05,0.0019350638094954,0,0,5.784031413612565,56.99071408278729,ACTR3;ACTR2;ARPC2;MARVELD2;ARPC3;RAC1;PRKCZ;ACTB;ACTG1
KEGG_2021_Human,Yersinia infection,8/137,7.222412875662573e-05,0.0022148732818698,0,0,6.353682170542636,60.58703818623099,ACTR3;ACTR2;ARPC2;ARPC3;RAC1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Leukocyte transendothelial migration,7/114,0.00015016516549446412,0.0039471986358544,0,0,6.67526996271367,58.767573256253904,VCAM1;CTNNB1;PTPN11;RAC1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Shigellosis,10/246,0.00019276798750342595,0.0044336637125787,0,0,4.36306868867083,37.32179091476809,ACTR3;ACTR2;ARF1;ARPC2;RRAGB;ARPC3;RAC1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Regulation of actin cytoskeleton,9/218,0.00035935557025142025,0.0073468249918068,0,0,4.416919261504547,35.031462154965595,ACTR3;MYLK2;ACTR2;ARPC2;ARPC3;RAC1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Salmonella infection,9/249,0.0009324689824513428,0.0171574292771047,0,0,3.8403141361256554,26.796462671666184,ACTR3;ACTR2;ARF1;ARPC2;ARPC3;CTNNB1;RAC1;ACTB;ACTG1
KEGG_2021_Human,Proteoglycans in cancer,8/205,0.0010948677119519,0.0183141508181058,0,0,4.146150592216582,28.264813314697445,RPS6;CTNNB1;PTPN11;RAC1;NUDT16L1;ACTB;PTK2;ACTG1
KEGG_2021_Human,Vibrio cholerae infection,4/50,0.0015598806233641,0.0239181695582501,0,0,8.763975155279503,56.64285082988862,ARF1;ATP6V0E1;ACTB;ACTG1
KEGG_2021_Human,Apelin signaling pathway,6/137,0.0025798129561998,0.036514275687751,0,0,4.643660974266153,27.67639763160527,MYLK2;NOTCH3;GNG5;GNB2;RPS6;GNG13
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,5/97,0.002914283262067,0.0383020085871663,0,0,5.492753623188406,32.067417227721045,ACTR3;ACTR2;ARPC2;ARPC3;RAC1
GO_Biological_Process_2023,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",7/94,4.418767596999791e-05,0.0389776153720259,0,0,8.218152581740219,82.40394709247983,HNRNPL;SNW1;SFSWAP;HNRNPU;SRSF3;LARP7;SRSF12
GO_Biological_Process_2023,Positive Regulation Of Lamellipodium Assembly (GO:0010592),4/23,7.4029424621569e-05,0.0389776153720259,0,0,21.24704618689581,202.0816743097091,ACTR3;ACTR2;ARPC2;RAC1
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cajal Body (GO:1904871),3/10,0.00011224655254723088,0.0389776153720259,0,0,43.059463379260336,391.61775629527256,LARP7;CCT8;CCT4
GO_Biological_Process_2023,Regulation Of Protein Localization To Cajal Body (GO:1904869),3/10,0.00011224655254723088,0.0389776153720259,0,0,43.059463379260336,391.61775629527256,LARP7;CCT8;CCT4
KEGG_2021_Human,Amyotrophic lateral sclerosis,10/364,0.0037514652886639,0.0460179742076106,0,0,2.891168599464764,16.148936689566114,NUP214;RAB1A;DDIT3;PSMD3;SRSF3;RAC1;CYC1;NDUFV1;ACTB;ACTG1
